id,pm10,lat,long,wojewodztwo,kod_pocztowy,gmina
2095,66.67466601853337,50.069202,18.548220999999998,śląskie,44-206,Rybnik
2096,61.005481051787655,52.386882,16.850122,wielkopolskie,60-163,Poznań
2097,53.79715217642041,52.490328999999996,20.981042,mazowieckie,05-130,gmina Serock
2098,71.8746484662499,50.102596,19.91751,małopolskie,32-087,gmina Zielonki
2100,46.12879580758616,53.443706,14.544877999999999,zachodniopomorskie,71-435,Szczecin
2101,59.96313612930274,52.103862,20.890386,mazowieckie,05-090,gmina Raszyn
2102,46.38398534904598,53.010031999999995,18.582769,kujawsko-pomorskie,87-100,Toruń
2104,69.5655344560116,49.778265999999995,19.601482,małopolskie,34-210,gmina Zembrzyce
2105,37.26884906828974,50.70708,22.410943,lubelskie,23-300,gmina Janów Lubelski
2106,101.76136461501837,49.901213999999996,19.168954,śląskie,43-330,gmina Wilamowice
2107,84.34944313122321,50.096996,18.549377,śląskie,44-200,Rybnik
2108,40.9565497963651,49.684458,19.911645999999998,małopolskie,32-433,gmina Lubień
2109,41.27591538181659,51.752185,18.078706,wielkopolskie,62-800,Kalisz
2110,80.20742548047595,50.032047,20.218878999999998,małopolskie,32-005,gmina Niepołomice
2111,96.13563234123785,51.523727,20.050167,łódzkie,97-200,Tomaszów Mazowiecki
2112,64.63256083481357,52.435344,16.924257,wielkopolskie,61-696,Poznań
2114,47.00511587383812,50.344966,18.208135,opolskie,47-220,Kędzierzyn-Koźle
2115,36.91562667924366,51.245903,22.515086999999998,lubelskie,20-709,Lublin
2117,40.69416428750309,51.130660999999996,23.472917,lubelskie,22-100,Chełm
2118,48.485379827481204,52.619712,20.342166,mazowieckie,09-100,Płońsk
2119,40.48212696234101,53.130672,23.173688,podlaskie,15-201,Białystok
2121,51.76707329960357,50.809374999999996,19.11355,śląskie,42-217,Częstochowa
2122,36.02664272053874,53.438209,14.551029999999999,zachodniopomorskie,71-407,Szczecin
2123,83.81871869360275,50.116436,19.801319,małopolskie,32-080,gmina Zabierzów
2124,79.00316287878783,49.825179999999996,19.04997,śląskie,43-300,Bielsko-Biała
2125,43.555849739760085,49.649707,21.165197,małopolskie,38-300,Gorlice
2126,38.40891885744015,49.665901,19.846100999999997,małopolskie,34-240,Jordanów
2127,53.00931727689048,49.823519999999995,19.841779,małopolskie,32-440,gmina Sułkowice
2128,94.30980077056267,51.5419,20.029595999999998,łódzkie,97-200,Tomaszów Mazowiecki
2129,61.65712078114484,52.209938,20.928621,mazowieckie,02-454,Warszawa
2131,53.96718644781143,50.009456,20.971134,małopolskie,33-110,Tarnów
2132,73.20054049918745,49.968582,19.141437,małopolskie,32-626,gmina Brzeszcze
2133,51.70092343602226,50.186035,19.644765,małopolskie,32-063,gmina Krzeszowice
2134,34.72613208461164,54.190321999999995,16.19931,zachodniopomorskie,75-450,Koszalin
2136,42.10930180408788,49.69334,21.764405999999997,podkarpackie,38-400,Krosno
2138,52.05509946714033,52.372228,16.584893,wielkopolskie,64-320,gmina Buk
2139,40.21171772341536,52.235214,18.248341999999997,wielkopolskie,62-510,Konin
2140,56.10581967676764,50.009647,20.993688,małopolskie,33-106,Tarnów
2141,44.804999964117215,51.127036999999994,16.97849,dolnośląskie,54-155,Wrocław
2142,42.53604162116452,50.262977,19.010960999999998,śląskie,40-081,Katowice
2143,58.69981141702738,52.240592,21.081689,mazowieckie,04-028,Warszawa
2144,39.07214340484206,53.709095,16.697692,zachodniopomorskie,78-400,Szczecinek
2145,59.13267077648088,49.815138999999995,19.042794999999998,śląskie,43-300,Bielsko-Biała
2147,91.31220530535181,51.531423999999994,20.022976,łódzkie,97-200,Tomaszów Mazowiecki
2148,62.82684801965353,52.170390999999995,22.273466,mazowieckie,08-100,Siedlce
2149,45.47905252525252,50.583255,19.336437,śląskie,42-300,Myszków
2150,50.24949738722603,50.815802999999995,19.117607,śląskie,42-202,Częstochowa
